Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Human capital (constant 2018 US$),NW.HCA.TO,Albania,ALB,44861001530,43430547992,37131131819,38792147742,42196257452,43611277219,47629933713,48529940024,52074804529,52251375959,54424482556,56861772240,59397609546,63436725070,66109242012,68056509547,68535249253,70752286970,71600306391,72487665594,73727868222,75716975793,78045555079,81214984640
Human capital (constant 2018 US$),NW.HCA.TO,Argentina,ARG,1.37855E+12,1.40471E+12,1.55117E+12,1.7414E+12,1.79004E+12,1.84136E+12,1.83323E+12,1.28431E+12,1.36053E+12,1.22971E+12,1.41126E+12,1.59695E+12,2.09974E+12,2.209E+12,2.04592E+12,2.41921E+12,2.95345E+12,2.96889E+12,3.18036E+12,3.12811E+12,3.21585E+12,3.15301E+12,3.22663E+12,3.15994E+12
Human capital (constant 2018 US$),NW.HCA.TO,Armenia,ARM,31162180567,32446809421,32562110893,35586495233,35852007081,36048138201,40542852801,42916804538,48169633479,53747162358,57398808187,63797827265,70864265546,71420229691,57953798679,60834929642,67294780252,70261394408,72147699696,73201068526,80113388040,76522388252,81504751657,84936407008
Human capital (constant 2018 US$),NW.HCA.TO,Australia,AUS,5.65711E+12,5.91611E+12,6.03646E+12,6.26521E+12,6.43226E+12,6.58307E+12,6.71367E+12,6.84722E+12,7.25725E+12,7.53621E+12,7.81929E+12,8.11119E+12,8.43765E+12,8.62858E+12,8.82447E+12,9.24202E+12,9.78892E+12,1.03164E+13,1.04955E+13,1.09371E+13,1.13248E+13,1.12677E+13,1.1503E+13,1.17879E+13
Human capital (constant 2018 US$),NW.HCA.TO,Austria,AUT,2.22685E+12,2.20598E+12,2.18531E+12,2.23164E+12,2.27984E+12,2.30108E+12,2.28695E+12,2.29071E+12,2.30082E+12,2.3052E+12,2.34024E+12,2.33878E+12,2.50163E+12,2.60146E+12,2.62933E+12,2.60334E+12,2.68648E+12,2.84744E+12,2.83593E+12,2.77453E+12,2.89992E+12,3.00628E+12,3.04663E+12,3.10569E+12
Human capital (constant 2018 US$),NW.HCA.TO,Azerbaijan,AZE,27450086133,25216600871,24495851066,25402280368,28654949747,30684089751,31478624525,34266809073,38282360571,42812412842,48066760298,49570197081,55741266194,56132136742,72758388006,68530441552,62030263819,67885909330,75380065190,78910540804,89918147795,82469321798,83027321134,83168555102
Human capital (constant 2018 US$),NW.HCA.TO,Bahrain,BHR,59424574700,60232350006,61732413450,70141295857,72415324152,64225918195,72179360133,77899285611,77903051968,77563365470,76250217053,77671424115,88084887584,90675162542,1.09543E+11,1.106E+11,1.04978E+11,1.13913E+11,1.17248E+11,1.24676E+11,1.2737E+11,1.33247E+11,1.39538E+11,1.43432E+11
Human capital (constant 2018 US$),NW.HCA.TO,Bangladesh,BGD,6.65132E+11,6.96076E+11,7.27925E+11,7.59453E+11,7.9091E+11,8.25308E+11,8.57314E+11,8.62773E+11,8.93263E+11,8.94146E+11,9.35039E+11,9.69454E+11,1.03665E+12,1.12568E+12,1.19912E+12,1.25609E+12,1.32904E+12,1.40386E+12,1.49874E+12,1.58891E+12,1.74408E+12,1.8544E+12,1.94772E+12,2.08705E+12
Human capital (constant 2018 US$),NW.HCA.TO,Belarus,BLR,1.35923E+11,1.38856E+11,1.46583E+11,1.71054E+11,1.75792E+11,1.87347E+11,2.10467E+11,2.14074E+11,2.0122E+11,2.26388E+11,2.48608E+11,2.81447E+11,2.98036E+11,3.13299E+11,3.35075E+11,3.765E+11,3.34518E+11,3.6604E+11,4.30338E+11,4.22856E+11,3.89308E+11,3.75617E+11,3.83378E+11,3.86912E+11
Human capital (constant 2018 US$),NW.HCA.TO,Belgium,BEL,2.50305E+12,2.5276E+12,2.59075E+12,2.61803E+12,2.72263E+12,2.77027E+12,2.85224E+12,2.88607E+12,2.87507E+12,2.88482E+12,2.89745E+12,3.03544E+12,3.28308E+12,3.28661E+12,3.17908E+12,3.26944E+12,3.51145E+12,3.53535E+12,3.57714E+12,3.5314E+12,3.521E+12,3.54382E+12,3.59602E+12,3.63786E+12
